epoch,accuracy,loss,val_accuracy,val_loss,phase
1,0.49950602650642395,1.7873831987380981,0.44252872467041016,2.0198099613189697,phase1
2,0.7104114294052124,0.999596357345581,0.48799487948417664,1.8180503845214844,phase1
3,0.765480101108551,0.8203976154327393,0.5160919427871704,1.7370636463165283,phase1
4,0.7910385727882385,0.7287572026252747,0.5240102410316467,1.7038968801498413,phase1
5,0.8059211373329163,0.6718393564224243,0.5260536670684814,1.6933079957962036,phase1
6,0.817298173904419,0.6260697841644287,0.5348659157752991,1.6616172790527344,phase1
7,0.8295994400978088,0.5850598216056824,0.5375478863716125,1.6521319150924683,phase1
8,0.8340609669685364,0.5687961578369141,0.5379310250282288,1.675371527671814,phase1
9,0.876446008682251,0.42086851596832275,0.6703703999519348,1.1265782117843628,phase2
10,0.9011121988296509,0.3335186243057251,0.7085568308830261,0.9925092458724976,phase2
11,0.9061155319213867,0.3175078332424164,0.7264367938041687,0.9195204973220825,phase2
12,0.9130628705024719,0.2977912127971649,0.7337164878845215,0.8798542618751526,phase2
13,0.9251410365104675,0.25913190841674805,0.7500638365745544,0.825096845626831,phase2
14,0.925682783126831,0.24992220103740692,0.7588761448860168,0.7997775673866272,phase2
15,0.929889440536499,0.24011649191379547,0.7595146894454956,0.7817394137382507,phase2
16,0.9367092847824097,0.21687228977680206,0.7684546709060669,0.7569181323051453,phase2
17,0.9370598196983337,0.21707545220851898,0.7759897708892822,0.7236627340316772,phase2
18,0.9375378489494324,0.2112313210964203,0.7800766229629517,0.7132573127746582,phase2
19,0.9391949772834778,0.21096475422382355,0.7848020195960999,0.6994091272354126,phase2
20,0.9461104273796082,0.1894720494747162,0.7849297523498535,0.6998866200447083,phase2
21,0.9486280679702759,0.17804056406021118,0.7895274758338928,0.6824983358383179,phase2
22,0.9441983699798584,0.19290469586849213,0.7937420010566711,0.6680924296379089,phase2
23,0.9436884522438049,0.1948012262582779,0.7936143279075623,0.6582521200180054,phase2
